,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,win_or_loss,points_per_poss,true_shooting_%,Off_reb_minus_TO,3-pointer,close,long-range,mid-range
286,35,79,6,21,30,36,8,38,46,16,17,9,17,4,106,101.3,101.3,104.7,103.7,1,1,1.0463968410661402,0.5588359342049768,-9,21,29,1,28
287,34,90,5,22,15,17,10,29,39,18,17,10,13,7,88,97.7,97.7,90.0,117.7,3IN4,0,0.9007164790174003,0.45137464095199015,-3,23,28,0,35
288,44,91,17,40,10,17,16,39,55,20,19,6,18,10,115,97.7,97.7,117.7,90.0,1,1,1.1770726714431934,0.5838748984565394,-2,41,27,0,16
289,37,84,4,15,12,21,10,31,41,22,23,14,13,8,90,94.2,94.2,95.5,99.8,1,0,0.9554140127388535,0.48262548262548266,-3,16,29,0,31
290,33,82,8,15,20,27,14,38,52,24,15,4,17,7,94,94.2,94.2,99.8,95.5,3IN4,1,0.9978768577494691,0.5006391137622497,-3,15,17,0,44
291,36,76,8,21,22,26,14,30,44,13,26,4,16,2,102,85.1,85.1,119.8,112.8,1,1,1.1985898942420683,0.5832570905763953,-2,21,23,1,24
292,35,73,8,28,18,22,6,23,29,17,27,8,9,1,96,85.1,85.1,112.8,119.8,3IN4,0,1.128084606345476,0.5805515239477503,-3,28,20,0,17
293,34,77,10,33,17,22,9,28,37,18,21,6,22,2,95,98.8,98.8,96.1,128.5,1,0,0.9615384615384615,0.5479926165205352,-13,32,19,0,18
294,48,90,14,25,17,21,9,34,43,32,22,17,12,6,127,98.8,98.8,128.5,96.1,3IN4,1,1.285425101214575,0.639862958484482,-3,25,22,0,32
295,46,96,13,29,12,18,12,28,40,24,25,11,8,5,117,99.0,99.0,118.2,122.2,2,0,1.1818181818181819,0.562933025404157,4,30,27,0,33
296,44,83,13,33,20,28,10,36,46,26,18,4,17,7,121,99.0,99.0,122.2,118.2,1,1,1.2222222222222223,0.6347041544271926,-7,35,22,0,18
297,37,80,6,17,13,19,6,29,35,18,13,14,21,4,93,98.9,98.9,94.0,91.0,2,1,0.9403437815975734,0.5262562245359892,-15,17,28,0,30
298,36,89,7,23,11,14,17,31,48,13,23,11,23,7,90,98.9,98.9,91.0,94.0,3IN4-B2B,0,0.910010111223458,0.4728877679697352,-6,25,36,0,24
299,43,80,11,24,18,22,4,33,37,25,17,10,13,6,115,98.1,98.1,117.3,110.1,1,1,1.1722731906218145,0.6411685994647636,-9,25,23,0,25
300,38,89,15,35,17,21,14,29,43,25,19,4,18,5,108,98.1,98.1,110.1,117.3,3IN4,0,1.1009174311926606,0.5496742671009772,-4,35,22,1,31
301,41,98,7,20,24,28,19,48,67,16,19,7,10,4,113,97.5,97.5,115.9,90.3,2,1,1.158974358974359,0.5121464829586657,9,20,27,0,36
302,34,95,9,34,11,18,15,34,49,17,18,8,11,4,88,97.5,97.5,90.3,115.9,1,0,0.9025641025641026,0.42751651768363774,4,34,29,0,20
303,45,99,12,41,16,20,9,38,47,23,27,8,14,6,118,108.6,108.6,108.7,115.2,3IN4-B2B,0,1.0865561694290977,0.5473098330241187,-5,41,34,0,19
304,41,92,9,28,34,43,14,41,55,24,17,9,12,2,125,108.6,108.6,115.2,108.7,3IN4,1,1.1510128913443831,0.5634691669671835,2,26,35,1,24
305,38,91,8,23,18,25,11,29,40,18,26,8,11,1,102,98.0,98.0,104.1,111.2,3+,0,1.0408163265306123,0.5,0,22,21,1,43
306,42,77,10,28,15,22,5,36,41,30,26,6,17,1,109,98.0,98.0,111.2,104.1,1,1,1.1122448979591837,0.6287494231656667,-12,29,17,0,27
307,30,82,7,21,15,19,9,39,48,19,16,5,18,9,82,94.9,94.9,86.4,93.7,1,0,0.8640674394099052,0.4537405931828243,-9,22,20,0,38
308,34,88,10,27,11,19,13,37,50,17,15,7,12,7,89,94.9,94.9,93.7,86.4,3IN4,1,0.9378292939936774,0.4618098796180988,1,26,24,1,32
309,35,86,11,30,12,20,11,40,51,19,16,3,18,5,93,97.1,97.1,95.8,106.1,3IN4-B2B,0,0.9577754891864058,0.49050632911392406,-7,28,21,2,31
310,43,86,10,28,7,11,5,35,40,22,16,8,10,12,103,97.1,97.1,106.1,95.8,1,1,1.0607621009268795,0.566930867459269,-5,28,24,0,29
311,33,76,7,21,17,23,13,40,53,18,17,6,19,3,90,89.7,89.7,100.3,92.5,1,1,1.0033444816053512,0.5225267069205759,-6,21,28,0,19
312,42,85,8,23,10,12,8,32,40,19,14,6,11,1,102,90.5,90.5,112.6,116.0,1,0,1.12707182320442,0.5649091714665485,-3,23,16,1,44
313,42,93,9,25,12,19,19,33,52,24,11,8,9,9,105,90.5,90.5,116.0,112.6,1,1,1.160220994475138,0.5179558011049724,10,25,23,1,40
